"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
4304;"2012-03-01";"March";2012;"Provoked";"Chile";"Antofagasta Province";"Antofagasta";"Fishing, catching, or hunting";"M";"N"
4305;"2009-04-11";"April";2009;"Invalid";"USA";"Hawaii";"Kona";"Fishing, catching, or hunting";"M";"N"
4306;"2010-08-05";"August";2010;"Invalid";"USA";"Florida";"Bethune Beach, Volusia County";"Water leisure activity";"F";"N"
4307;"2012-03-03";"March";2012;"Invalid";"Saudi Arabia";"Tabuk Province";"Off Duba";"Recreational water sport";"M";"N"
4308;"2009-04-12";"April";2009;"Unprovoked";"Australia";"New South Wales";"Fingal Bay";"Recreational water sport";"M";"N"
4309;"2010-08-07";"August";2010;"Unprovoked";"Malta";"Unknown";"Off Fort St. Elmo, Valetta";"Recreational water sport";"M";"N"
4310;"2010-08-07";"August";2010;"Unprovoked";"USA";"North Carolina";"Figure Eight Island, Wilmington, New Hanover County";"Recreational water sport";"M";"N"
4311;"2012-03-04";"March";2012;"Unprovoked";"USA";"Florida";"Playalinda Beach, Brevard County";"Recreational water sport";"M";"N"
4312;"2009-04-17";"April";2009;"Unprovoked";"USA";"Florida";"Walton Rocks, St Lucie County";"Recreational water sport";"M";"N"
4313;"2012-03-05";"March";2012;"Unprovoked";"Reunion";"Saint-Benoit";"Port de la Marine";"Recreational water sport";"M";"N"
4314;"2012-03-06";"March";2012;"Provoked";"Australia";"Victoria";"Shipwreck Cove, Melbourne Aquarium";"Water leisure activity";"F";"N"
4315;"2009-04-19";"April";2009;"Unprovoked";"USA";"Florida";"Carlin Park, Jupiter Inlet";"Recreational water sport";"M";"N"
4316;"2012-03-06";"March";2012;"Unprovoked";"New Zealand";"North Island";"Opunake, Taranake";"Recreational water sport";"M";"N"
4317;"2009-04-20";"April";2009;"Unprovoked";"Philippines";"Batangas province";"Mabini";"Water leisure activity";"M";"N"
4318;"2012-03-14";"March";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4319;"2012-08-26";"August";2012;"Unprovoked";"Brazil";"Pernambuco";"Coral Cove, Cabo de Santo Agostinho";"Water leisure activity";"M";"Y"
4320;"2009-04-21";"April";2009;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4321;"2012-03-14";"March";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"F";"N"
4322;"2009-04-25";"April";2009;"Unprovoked";"USA";"California";"San Onofre State Beach, San Diego County";"Recreational water sport";"M";"N"
4323;"2009-04-28";"April";2009;"Unprovoked";"USA";"Florida";"St. Augustine, St. John's County";"Not specified";"F";"N"
4324;"2012-03-15";"March";2012;"Unprovoked";"USA";"Florida";"Jensen Beach, Martin County";"Recreational water sport";"M";"N"
4325;"2012-08-28";"August";2012;"Unprovoked";"Australia";"Western Australia";"Red Bluff near Quobba Station";"Recreational water sport";"M";"N"
4326;"2012-03-20";"March";2012;"Unprovoked";"Australia";"Queensland";"Nobby's Beach";"Recreational water sport";"M";"N"
4327;"2009-05-06";"May";2009;"Provoked";"Bahamas";"Exuma Islands";"Unknown";"Fishing, catching, or hunting";"M";"N"
4328;"2012-03-22";"March";2012;"Boat";"Australia";"Western Australia";"Kalbarri";"Fishing, catching, or hunting";"Not specified";"N"
4329;"2011-04-16";"April";2011;"Unprovoked";"New Zealand";"South Island";"Snapper Point";"Recreational water sport";"M";"N"
4330;"2012-03-24";"March";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4331;"2012-08-31";"August";2012;"Provoked";"Scotland";"Inner Hebrides";"Off the Isle of Islay";"Fishing, catching, or hunting";"M";"N"
4332;"2012-03-31";"March";2012;"Unprovoked";"Australia";"Western Australia";"Stratham Beach";"Water leisure activity";"M";"Y"
4333;"2011-04-22";"April";2011;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4334;"2012-09-02";"September";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"F";"N"
4335;"2009-05-12";"May";2009;"Provoked";"Guam";"North Region";"Ritidian Point";"Fishing, catching, or hunting";"M";"N"
4336;"2011-04-23";"April";2011;"Unprovoked";"Australia";"Western Australia";"Red Bluffs";"Fishing, catching, or hunting";"M";"N"
4337;"2012-09-02";"September";2012;"Provoked";"USA";"Hawaii";"Spreckelsville, Maui";"Fishing, catching, or hunting";"Not specified";"N"
4338;"2011-04-26";"April";2011;"Unprovoked";"USA";"Florida";"Riviera Beach, Palm Beach County";"Fishing, catching, or hunting";"M";"N"
4339;"2012-04-01";"April";2012;"Unprovoked";"USA";"Florida";"Sanibel Island, Lee County";"Not specified";"M";"N"
4340;"2012-09-02";"September";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"F";"N"
4341;"2012-04-03";"April";2012;"Unprovoked";"USA";"Hawaii";"Leftovers near Chun's Reef, Oahu";"Recreational water sport";"M";"N"
4342;"2011-05-04";"May";2011;"Unprovoked";"South Africa";"KwaZulu-Natal";"Palm Beach";"Fishing, catching, or hunting";"M";"N"
4343;"2012-09-04";"September";2012;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
4344;"2012-04-11";"April";2012;"Unprovoked";"Australia";"South Australia";"Dolphin Bay, Innes National Park";"Recreational water sport";"M";"N"
4345;"2012-09-06";"September";2012;"Unprovoked";"USA";"Florida";"St. Augustine Beach, St. John's County";"Recreational water sport";"M";"N"
4346;"2012-09-06";"September";2012;"Unprovoked";"USA";"Florida";"Neptune Beach, Duval County";"Recreational water sport";"M";"N"
4347;"2011-05-07";"May";2011;"Invalid";"United Arab Emirates";"Umm al Qaywayan Province";"Khor Fakkan";"Fishing, catching, or hunting";"M";"N"
4348;"2012-04-19";"April";2012;"Unprovoked";"South Africa";"Western Cape Province";"Caves near Kogel Bay";"Recreational water sport";"M";"Y"
4349;"2013-09-07";"September";2013;"Provoked";"USA";"Florida";"New Smyrna Beach,  Volusia County";"Recreational water sport";"M";"N"
4350;"2012-09-08";"September";2012;"Unprovoked";"USA";"Florida";"South Beach, Miami-Dade County";"Water leisure activity";"M";"N"
4351;"2012-04-19";"April";2012;"Unprovoked";"USA";"Florida";"Indialantic, Brevard County";"Recreational water sport";"M";"N"
4352;"2012-09-08";"September";2012;"Unprovoked";"USA";"Florida";"Lori Wilson Park, Cocoa Beach, Brevard  County";"Recreational water sport";"M";"N"
4353;"2013-09-08";"September";2013;"Unprovoked";"USA";"South Carolina";"St. Helena Island, Beaufort County";"Not specified";"F";"Not specified"
4354;"2012-05-06";"May";2012;"Unprovoked";"USA";"California";"Off Catalina Island";"Recreational water sport";"F";"N"
4355;"2011-05-10";"May";2011;"Provoked";"USA";"Florida";"Miami";"Fishing, catching, or hunting";"M";"N"
4356;"2013-09-12";"September";2013;"Unprovoked";"USA";"Florida";"New Smyrna Beach,  Volusia County";"Recreational water sport";"F";"N"
4357;"2012-09-09";"September";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"Not specified";"N"
4358;"2011-05-13";"May";2011;"Unprovoked";"USA";"Florida";"Ormond Beach, Volusia County";"Recreational water sport";"M";"N"
4359;"2013-09-14";"September";2013;"Unprovoked";"USA";"Florida";"Casino Beach, Pensacola, Escambia County";"Water leisure activity";"M";"N"
4360;"2012-05-09";"May";2012;"Unprovoked";"USA";"Florida";"Vero Beach, Indian River County";"Water leisure activity";"F";"N"
4361;"2012-09-10";"September";2012;"Unprovoked";"Tonga";"Vava'u";"Eueiki Island";"Water leisure activity";"F";"N"
4362;"2011-05-13";"May";2011;"Unprovoked";"USA";"Florida";"Ponte Vedra Beach, St Johns County";"Recreational water sport";"M";"N"
4363;"2012-05-12";"May";2012;"Unprovoked";"USA";"California";"Leffingwell Landing, Cambria,  San Luis Obispo County";"Fishing, catching, or hunting";"M";"N"
4364;"2013-09-21";"September";2013;"Unprovoked";"USA";"Florida";"Carlin Park, Jupiter, Palm Beach County";"Recreational water sport";"M";"N"
4365;"2012-09-16";"September";2012;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard  County";"Recreational water sport";"M";"N"
4366;"2012-05-16";"May";2012;"Unprovoked";"Fiji";"Unknown";"Matacucu Reef";"Fishing, catching, or hunting";"M";"N"
4367;"2011-05-21";"May";2011;"Unprovoked";"New Caledonia";"North Province";"Kendec";"Recreational water sport";"M";"Y"
4368;"2013-09-21";"September";2013;"Unprovoked";"USA";"Florida";"Ormond Beach, Volusia County";"Water leisure activity";"M";"N"
4369;"2012-09-24";"September";2012;"Unprovoked";"USA";"Florida";"Spanish House Beach, Brevard County";"Recreational water sport";"M";"N"
4370;"2011-05-21";"May";2011;"Unprovoked";"South Africa";"KwaZulu-Natal";"Levan Point";"Fishing, catching, or hunting";"M";"Y"
4371;"2012-09-25";"September";2012;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
4372;"2012-05-20";"May";2012;"Unprovoked";"USA";"Hawaii";"Iroquiois Point, Oahu";"Fishing, catching, or hunting";"M";"N"
4373;"2012-10-02";"October";2012;"Unprovoked";"Australia";"Western Australia";"Mullaloo Beach, Perth";"Recreational water sport";"M";"N"
4374;"2013-09-25";"September";2013;"Unprovoked";"USA";"Florida";"Panama City, Bay County";"Water leisure activity";"M";"N"
4375;"2012-05-23";"May";2012;"Unprovoked";"USA";"Florida";"Jacksonville, Duval County";"Recreational water sport";"M";"N"
4376;"2011-05-22";"May";2011;"Unprovoked";"USA";"Hawaii";"Lyman Beach, Kailua-Kona";"Recreational water sport";"F";"N"
4377;"2012-10-07";"October";2012;"Unprovoked";"USA";"California";"Davenport Landing, Santa Cruz County";"Recreational water sport";"M";"N"
4378;"2013-09-29";"September";2013;"Provoked";"Israel";"Southern District";"Ashdod";"Water leisure activity";"M";"N"
4379;"2012-05-29";"May";2012;"Unprovoked";"Mexico";"Guerrero";"Boca de la Leña, La Unión";"Fishing, catching, or hunting";"M";"N"
4380;"2011-05-25";"May";2011;"Unprovoked";"USA";"Hawaii";"Lyman Beach, Kailua-Kona";"Recreational water sport";"F";"N"
4381;"2013-09-29";"September";2013;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
4382;"2012-10-11";"October";2012;"Unprovoked";"Nigeria";"Delta";"Oboro";"Water leisure activity";"F";"N"
4383;"2011-05-29";"May";2011;"Unprovoked";"South Africa";"Western Cape Province";"Robberg Beach";"Recreational water sport";"M";"N"
4384;"2013-10-05";"October";2013;"Unprovoked";"USA";"California";"Bunkers, Humboldt Bay, Eureka, Humboldt County";"Recreational water sport";"M";"N"
4385;"2012-05-31";"May";2012;"Unprovoked";"USA";"North Carolina";"Avon, Hatteras Island, Outer Banks, Dare County";"Water leisure activity";"F";"N"
4386;"2012-10-16";"October";2012;"Invalid";"USA";"Florida";"Hobe Sound";"Not specified";"M";"N"
4387;"2013-10-05";"October";2013;"Unprovoked";"USA";"Florida";"Destin, Okaloosa County";"Water leisure activity";"M";"N"
4388;"2012-06-02";"June";2012;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Recreational water sport";"M";"N"
4389;"2012-10-18";"October";2012;"Unprovoked";"USA";"Hawaii";"Kanaha Beach, Maui";"Recreational water sport";"M";"N"
4390;"2012-06-02";"June";2012;"Unprovoked";"USA";"Florida";"Bethune Beach, Volusia County";"Recreational water sport";"F";"N"
4391;"2013-10-08";"October";2013;"Unprovoked";"Australia";"Western Australia";"Off Poison Creek, Cape Arid";"Water leisure activity";"M";"N"
4392;"2011-05-30";"May";2011;"Unprovoked";"USA";"Texas";"Follett's Island, Brazoria County";"Water leisure activity";"F";"N"
4393;"2012-10-18";"October";2012;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
4394;"2012-06-03";"June";2012;"Unprovoked";"Australia";"New South Wales";"Redhead Beach, Newcastle";"Recreational water sport";"M";"N"
4395;"2013-10-11";"October";2013;"Unprovoked";"South Africa";"Eastern Cape Province";"Albatros Point, near Jeffrey's Bay";"Water leisure activity";"M";"Y"
4396;"2011-06-01";"June";2011;"Unprovoked";"Malaysia";"Kedah";"Palau Payar";"Water leisure activity";"F";"N"
4397;"2012-10-19";"October";2012;"Unprovoked";"USA";"Florida";"Seaport, Brevard County";"Not specified";"F";"N"
4398;"2011-06-06";"June";2011;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
4399;"2013-10-19";"October";2013;"Unprovoked";"USA";"Florida";"Miami Beach";"Water leisure activity";"M";"N"
4400;"2012-10-23";"October";2012;"Unprovoked";"USA";"California";"Surf Beach, Lompoc, Santa Barbara County";"Recreational water sport";"M";"Y"
4401;"2012-06-10";"June";2012;"Provoked";"Italy";"Sardinia";"Muravera";"Shark convservation or protection efforts";"M";"Not specified"
4402;"2013-10-20";"October";2013;"Unprovoked";"USA";"Hawaii";"Pila'a Beach, Kaua'i";"Recreational water sport";"M";"N"
4403;"2012-10-27";"October";2012;"Unprovoked";"USA";"Hawaii";"Makena Landing, Maui";"Water leisure activity";"F";"N"
4404;"2012-06-12";"June";2012;"Unprovoked";"Australia";"Victoria";"Port Campbell";"Recreational water sport";"M";"N"
4405;"2013-10-23";"October";2013;"Unprovoked";"USA";"Hawaii";"Waiehu, Maui";"Water leisure activity";"M";"N"
4406;"2012-10-30";"October";2012;"Unprovoked";"USA";"California";"Humboldt Bay, Eureka, Humboldt County";"Recreational water sport";"M";"N"
4407;"2011-06-06";"June";2011;"Unprovoked";"USA";"California";"La Jolla, San Diego County";"Fishing, catching, or hunting";"M";"N"
4408;"2013-10-24";"October";2013;"Unprovoked";"Australia";"New South Wales";"South Narrabeen Beach";"Recreational water sport";"M";"N"
4409;"2012-11-04";"November";2012;"Unprovoked";"USA";"Hawaii";"Davidson's Surf Break, Kekaha, Kaua'i";"Recreational water sport";"M";"N"
4410;"2012-06-14";"June";2012;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"M";"N"
4411;"2011-06-06";"June";2011;"Unprovoked";"Columbia";"San Andrés archipelago";"Albuquerque Cay";"Fishing, catching, or hunting";"M";"N"
4412;"2013-10-26";"October";2013;"Unprovoked";"Australia";"Western Australia";"Little Island, near Hillarys";"Fishing, catching, or hunting";"M";"N"
4413;"2012-11-04";"November";2012;"Unprovoked";"USA";"Hawaii";"Makena Landing, Maui";"Water leisure activity";"M";"N"
4414;"2012-06-14";"June";2012;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"M";"N"
4415;"2012-11-19";"November";2012;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
4416;"2013-10-26";"October";2013;"Unprovoked";"Reunion";"d’Étang-Salé";"Ravine Mula";"Recreational water sport";"M";"N"
4417;"2011-06-12";"June";2011;"Unprovoked";"USA";"Florida";"Off Jupiter Inlet, Palm Beach County";"Water leisure activity";"M";"N"
4418;"2012-06-14";"June";2012;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"M";"N"
4419;"2012-11-22";"November";2012;"Unprovoked";"Mexico";"Sinaloa";"Nuevo Altata";"Water leisure activity";"M";"Y"
4420;"2013-10-28";"October";2013;"Unprovoked";"Australia";"Western Australia";"Turquoise Bay";"Water leisure activity";"F";"N"
4421;"2012-11-27";"November";2012;"Invalid";"Australia";"Queensland";"Mooloolaba";"Not specified";"M";"N"
4422;"2012-06-14";"June";2012;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"F";"N"
4423;"2013-10-31";"October";2013;"Unprovoked";"USA";"Hawaii";"Kanaha Beach, Maui";"Recreational water sport";"M";"N"
4424;"2012-11-30";"November";2012;"Unprovoked";"USA";"Hawaii";"Kihei, Maui";"Water leisure activity";"M";"N"
4425;"2011-06-14";"June";2011;"Boat";"United Kingdom";"Cornwall";"St. Ives";"Fishing, catching, or hunting";"Not specified";"N"
4426;"2012-06-15";"June";2012;"Provoked";"USA";"Florida";"Summerland Key, Monroe County";"Fishing, catching, or hunting";"M";"N"
4427;"2012-12-01";"December";2012;"Unprovoked";"New Zealand";"South Island";"Sunday Cove, Fiordland";"Water leisure activity";"F";"N"
4428;"2013-11-07";"November";2013;"Unprovoked";"USA";"Florida";"Floridana Beach, Brevard County";"Recreational water sport";"M";"N"
4429;"2011-06-15";"June";2011;"Unprovoked";"Reunion";"Saint-Gilles-les-Bains";"Boucan-Canot";"Recreational water sport";"M";"Y"
4430;"2012-12-02";"December";2012;"Unprovoked";"Australia";"New South Wales";"Green Island";"Fishing, catching, or hunting";"M";"N"
4431;"2013-11-07";"November";2013;"Unprovoked";"USA";"New Jersey";"Bay Head, Ocean County";"Recreational water sport";"M";"N"
4432;"2012-06-18";"June";2012;"Unprovoked";"USA";"North Carolina";"Ocean Isle, Brunswick County";"Water leisure activity";"F";"N"
4433;"2011-06-19";"June";2011;"Unprovoked";"Costa Rica";"Guanacaste";"Playa Grande";"Recreational water sport";"M";"Y"
4434;"2012-12-05";"December";2012;"Unprovoked";"USA";"Hawaii";"Kauai";"Recreational water sport";"M";"N"
4435;"2012-06-19";"June";2012;"Invalid";"USA";"South Carolina";"Myrtle Beach, Horry County";"Water leisure activity";"M";"N"
4436;"2013-11-10";"November";2013;"Provoked";"Bahamas";"Unknown";"Off Cape Eleuthera";"Fishing, catching, or hunting";"M";"N"
4437;"2012-12-19";"December";2012;"Unprovoked";"Australia";"Western Australia";"Trigg Beach";"Recreational water sport";"M";"N"
4438;"2012-12-25";"December";2012;"Unprovoked";"South Africa";"Eastern Cape Province";"Port St. John's";"Water leisure activity";"M";"Y"
4439;"2013-11-12";"November";2013;"Unprovoked";"Australia";"Western Australia";"Trigg Beach, Perth";"Recreational water sport";"M";"N"
4440;"2011-06-19";"June";2011;"Unprovoked";"Turks & Caicos";"Caicos Bank";"French Cay";"Fishing, catching, or hunting";"M";"N"
4441;"2012-12-28";"December";2012;"Unprovoked";"Australia";"New South Wales";"Kylie's Beach, Diamond Head";"Recreational water sport";"M";"N"
4442;"2012-06-20";"June";2012;"Unprovoked";"Australia";"Western Australia";"Mullaloo Beach, Perth";"Recreational water sport";"M";"N"
4443;"2013-11-22";"November";2013;"Unprovoked";"USA";"Oregon";"Gleneden Beach, Lincoln County";"Recreational water sport";"M";"N"
4444;"2012-12-30";"December";2012;"Unprovoked";"Australia";"New South Wales";"Between Dee Why and Long Reef";"Recreational water sport";"M";"N"
4445;"2011-06-21";"June";2011;"Unprovoked";"USA";"Florida";"Perdido Key, Escambia County";"Recreational water sport";"M";"N"
4446;"2012-06-22";"June";2012;"Unprovoked";"USA";"Florida";"Bathtub Reef  Beach, Stuart, Martin County";"Water leisure activity";"M";"N"
4447;"2013-11-23";"November";2013;"Unprovoked";"Australia";"Western Australia";"Gracetown";"Recreational water sport";"M";"Y"
4448;"2012-12-31";"December";2012;"Unprovoked";"USA";"Florida";"Jensen Beach, Martin County";"Water leisure activity";"M";"N"
4449;"2011-06-24";"June";2011;"Unprovoked";"USA";"California";"San Onofre State Beach, San Diego County";"Recreational water sport";"M";"N"
4450;"2012-06-22";"June";2012;"Unprovoked";"Australia";"Tasmania";"South Cape Bay";"Recreational water sport";"M";"N"
4451;"2013-01-05";"January";2013;"Unprovoked";"Australia";"Western Australia";"Near Legendre Island";"Fishing, catching, or hunting";"M";"N"
4452;"2013-11-29";"November";2013;"Unprovoked";"USA";"Hawaii";"Keawekapu Beach, Kihei, Maui";"Water leisure activity";"F";"N"
4453;"2013-01-13";"January";2013;"Unprovoked";"New Zealand";"Mercury Islands";"Great Mercury Island";"Fishing, catching, or hunting";"M";"N"
4454;"2011-06-26";"June";2011;"Unprovoked";"USA";"North Carolina";"North Topsail Beach, Onslow County";"Recreational water sport";"F";"N"
4455;"2012-06-26";"June";2012;"Unprovoked";"USA";"Hawaii";"Kahana Beach, Maui";"Water leisure activity";"F";"N"
4456;"2013-11-30";"November";2013;"Unprovoked";"Australia";"New South Wales";"Riecks Point,  Campbell’s Beach,";"Recreational water sport";"M";"Y"
4457;"2013-01-16";"January";2013;"Unprovoked";"USA";"Hawaii";"Kiholo Bay";"Recreational water sport";"M";"N"
4458;"2012-06-26";"June";2012;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4459;"2013-01-21";"January";2013;"Invalid";"Australia";"Queensland";"Bullcock Beach";"Irresponsible or dangerous behavior with sharks";"M";"N"
4460;"2013-12-02";"December";2013;"Unprovoked";"USA";"Hawaii";"Between  Makena & Molokini, Maui";"Fishing, catching, or hunting";"M";"Y"
4461;"2013-01-25";"January";2013;"Unprovoked";"Australia";"Queensland";"Noosa";"Recreational water sport";"M";"N"
4462;"2013-12-05";"December";2013;"Unprovoked";"Australia";"New South Wales";"Shelly Beach, near Port Macquarie";"Recreational water sport";"M";"N"
4463;"2011-06-28";"June";2011;"Unprovoked";"South Africa";"KwaZulu-Natal";"Aliwal Shoal";"Water leisure activity";"M";"N"
4464;"2013-01-26";"January";2013;"Boat";"Australia";"Victoria";"Cape Nelson";"Fishing, catching, or hunting";"M";"N"
4465;"2012-06-26";"June";2012;"Unprovoked";"USA";"Florida";"Juno Beach, Palm Beach County";"Water leisure activity";"M";"N"
4466;"2013-12-10";"December";2013;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard  County";"Recreational water sport";"M";"N"
4467;"2011-06-29";"June";2011;"Unprovoked";"Brazil";"Pernambuco";"Praia do Pina";"Recreational water sport";"M";"N"
4468;"2013-02-01";"February";2013;"Unprovoked";"Jamaica";"Kingston Parish";"Pedro Cays";"Not specified";"M";"N"
4469;"2013-02-09";"February";2013;"Unprovoked";"French Polynesia";"Society Islands";"Tapu, a dive site on the outer reefs of Bora Bora";"Water leisure activity";"M";"N"
4470;"2013-12-11";"December";2013;"Unprovoked";"USA";"Hawaii";"Ninole Bay, Hawaii County";"Recreational water sport";"M";"N"
4471;"2011-06-30";"June";2011;"Unprovoked";"Turks & Caicos";"Middle Caicos";"Mudjin Harbor";"Water leisure activity";"M";"N"
4472;"2012-06-28";"June";2012;"Invalid";"Croatia";"Unknown";"Buccari Bay";"Water leisure activity";"Not specified";"N"
4473;"2013-02-10";"February";2013;"Unprovoked";"USA";"Florida";"""Stuart Rocks"", Martin County";"Recreational water sport";"M";"N"
4474;"2013-12-16";"December";2013;"Unprovoked";"South Africa";"Western Cape Province";"Die Platt";"Recreational water sport";"M";"N"
4475;"2012-07-06";"July";2012;"Unprovoked";"South Africa";"Western Cape Province";"Sandstrand, Jongensfontein";"Recreational water sport";"M";"N"
4476;"2013-02-21";"February";2013;"Unprovoked";"USA";"Hawaii";"Paia Bay, Maui";"Recreational water sport";"M";"N"
4477;"2013-12-25";"December";2013;"Unprovoked";"New Caledonia";"North Province";"Lindéralique, Hienghène";"Water leisure activity";"M";"N"
4478;"2013-02-21";"February";2013;"Unprovoked";"USA";"Hawaii";"Ka'anapali, Honokowai, Maui";"Recreational water sport";"Not specified";"N"
4479;"2012-07-07";"July";2012;"Unprovoked";"USA";"California";"Pleasure Point, Santa Cruz County";"Recreational water sport";"M";"N"
4480;"2011-07-05";"July";2011;"Unprovoked";"Columbia";"Sucre";"Libertad, San Onofre";"Recreational water sport";"M";"N"
4481;"2014-01-04";"January";2014;"Sea Disaster";"Japan";"Okinawa Prefecture";"Off Miyako Island";"Sea disaster";"M";"N"
4482;"2013-02-27";"February";2013;"Unprovoked";"New Zealand";"North Island";"Muriwai";"Water leisure activity";"M";"Y"
4483;"2012-07-07";"July";2012;"Invalid";"Australia";"Victoria";"Ship's Graveyard off Point Lonsdale";"Water leisure activity";"F";"Y"
4484;"2011-07-06";"July";2011;"Unprovoked";"Reunion";"Saint-Gilles";"Roches Noires";"Recreational water sport";"M";"N"
4485;"2013-03-03";"March";2013;"Unprovoked";"South Africa";"Eastern Cape Province";"Port St. John's";"Water leisure activity";"M";"N"
4486;"2012-07-07";"July";2012;"Unprovoked";"Bahamas";"Eleuthera";"Unknown";"Fishing, catching, or hunting";"M";"N"
4487;"2014-01-25";"January";2014;"Unprovoked";"New Zealand";"South Island";"Garden Bay near Cosy Nook";"Fishing, catching, or hunting";"M";"N"
4488;"2013-03-10";"March";2013;"Unprovoked";"Philippines";"Palawan";"Off Likas Island";"Water leisure activity";"M";"N"
4489;"2011-07-07";"July";2011;"Unprovoked";"USA";"Texas";"Mustang Island, Nueces County";"Fishing, catching, or hunting";"M";"N"
4490;"2012-07-08";"July";2012;"Unprovoked";"USA";"North Carolina";"North Topsail Beach, Onslow County";"Water leisure activity";"F";"N"
4491;"2014-01-26";"January";2014;"Provoked";"Australia";"New South Wales";"Umina Beach";"Fishing, catching, or hunting";"M";"N"
4492;"2013-03-10";"March";2013;"Unprovoked";"Australia";"Western Australia";"African Reef off Geraldton";"Fishing, catching, or hunting";"M";"N"
4493;"2011-07-07";"July";2011;"Unprovoked";"USA";"Texas";"Sunday Beach, Matagorda Island, Calhoun  County";"Water leisure activity";"M";"N"
4494;"2013-03-12";"March";2013;"Unprovoked";"Jamaica";"St. Catherine";"Pillikin Red Light area";"Fishing, catching, or hunting";"M";"Y"
4495;"2014-02-07";"February";2014;"Unprovoked";"New Zealand";"South Island";"Porpoise Bay";"Recreational water sport";"M";"N"
4496;"2013-03-16";"March";2013;"Unprovoked";"South Africa";"Western Cape Province";"Hawston Beach";"Recreational water sport";"M";"N"
4497;"2014-02-07";"February";2014;"Provoked";"Trinidad & Tobago";"Trinidad";"Unknown";"Fishing, catching, or hunting";"M";"N"
4498;"2013-03-16";"March";2013;"Provoked";"South Africa";"Western Cape Province";"De Mond";"Fishing, catching, or hunting";"M";"N"
4499;"2014-02-08";"February";2014;"Unprovoked";"Australia";"South Australia";"Goldsmith Beach, Yorke Peninsula";"Fishing, catching, or hunting";"M";"Y"
4500;"2011-07-13";"July";2011;"Unprovoked";"Bahamas";"Grand Bahama Island";"Off Lucaya";"Water leisure activity";"M";"N"
4501;"2013-03-21";"March";2013;"Unprovoked";"Bahamas";"Eleuthera";"Savannah Sound";"Fishing, catching, or hunting";"M";"N"
4502;"2013-03-21";"March";2013;"Unprovoked";"Belize";"Unknown";"Unknown";"Water leisure activity";"F";"N"
4503;"2011-07-13";"July";2011;"Unprovoked";"USA";"Texas";"South Padre Island, Cameron County";"Fishing, catching, or hunting";"M";"N"
4504;"2014-02-17";"February";2014;"Boat";"Papua New Guinea";"Unknown";"Unknown";"Recreational water sport";"M";"N"
4505;"2013-03-29";"March";2013;"Unprovoked";"Seychelles";"Unknown";"Ile Platte";"Water leisure activity";"M";"N"
4506;"2014-02-20";"February";2014;"Unprovoked";"French Polynesia";"Society Islands";"Huahine";"Recreational water sport";"M";"N"
4507;"2013-03-31";"March";2013;"Invalid";"Australia";"New South Wales";"Terrigal Beach";"Recreational water sport";"M";"N"
4508;"2014-03-02";"March";2014;"Unprovoked";"USA";"Florida";"Santa Lucea Beach, South Hutchinson Island, St. Lucie County";"Recreational water sport";"M";"N"
4509;"2013-04-02";"April";2013;"Unprovoked";"USA";"Hawaii";"Ka’anapali Shores";"Recreational water sport";"M";"N"
4510;"2011-07-15";"July";2011;"Unprovoked";"Reunion";"Saint-Gilles";"Brisants.";"Recreational water sport";"M";"N"
4511;"2014-03-12";"March";2014;"Unprovoked";"Australia";"New South Wales";"Lighthouse Beach";"Water leisure activity";"M";"N"
