"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
805;"1937-11-13";"November";1937;"Sea Disaster";"USA";"North Carolina";"Off Cape Hatteraa";"Sinking or failure of vessel";"M";"Y"
806;"1934-04-15";"April";1934;"Unprovoked";"Australia";"Queensland";"Elephant Rock, Currumbin near Southport";"Recreational water sport";"M";"N"
807;"1945-03-06";"March";1945;"Unprovoked";"South Africa";"KwaZulu-Natal";"Scottburgh";"Water leisure activity";"M";"N"
808;"1947-10-28";"October";1947;"Unprovoked";"Australia";"Northern Territory";"Mornington Island, Gulf of Carpentaria";"Fishing, catching, or hunting";"M";"N"
809;"1938-01-02";"January";1938;"Unprovoked";"Australia";"New South Wales";"Cronulla";"Recreational water sport";"M";"N"
810;"1934-06-20";"June";1934;"Unprovoked";"USA";"Florida";"Melbourne, Brevard County";"Water leisure activity";"M";"Y"
811;"1945-05-08";"May";1945;"Unprovoked";"USA";"North Carolina";"Ocracoke Inlet, Carteret County";"Water leisure activity";"M";"Y"
812;"1947-11-01";"November";1947;"Unprovoked";"Australia";"Queensland";"Moreton Bay";"Not specified";"Not specified";"Y"
813;"1938-01-14";"January";1938;"Unprovoked";"Australia";"New South Wales";"Lady Martin’s Beach, Sydney Harbor";"Water leisure activity";"M";"N"
814;"1945-06-15";"June";1945;"Unprovoked";"Australia";"Queensland";"Trinity Beach, Cairns";"Water leisure activity";"M";"Y"
815;"1945-07-01";"July";1945;"Sea Disaster";"Java";"Northern Java";"Off Cheribon";"Sinking or failure of vessel";"Not specified";"Y"
816;"1938-01-18";"January";1938;"Provoked";"South Africa";"KwaZulu-Natal";"Vetch’s Pier, Durban";"Fishing, catching, or hunting";"M";"N"
817;"1947-11-08";"November";1947;"Unprovoked";"Australia";"New South Wales";"Maria River, Port Macquarie, 12 miles from river mouth";"Water leisure activity";"M";"N"
818;"1945-07-30";"July";1945;"Sea Disaster";"Philippines";"In transit between Tinian and Leyte";"Unknown";"Sinking or failure of vessel";"Not specified";"Y"
819;"1934-06-21";"June";1934;"Provoked";"Australia";"New South Wales";"Off Mooloolabah";"Fishing, catching, or hunting";"M";"N"
820;"1947-11-08";"November";1947;"Unprovoked";"Australia";"New South Wales";"Maria River, Port Macquarie, 12 miles from river mouth";"Water leisure activity";"M";"Y"
821;"1945-08-06";"August";1945;"Unprovoked";"USA";"North Carolina";"Ocracoke";"Not specified";"Not specified";"Y"
822;"1934-07-11";"July";1934;"Boating";"Australia";"New South Wales";"Cronulla";"Fishing, catching, or hunting";"Not specified";"N"
823;"1938-01-21";"January";1938;"Provoked";"Australia";"New South Wales";"Tweed Heads";"Fishing, catching, or hunting";"M";"N"
824;"1947-11-14";"November";1947;"Unprovoked";"Australia";"New South Wales";"Knobby's Beach, Newcastle";"Fishing, catching, or hunting";"M";"N"
825;"1934-08-05";"August";1934;"Unprovoked";"USA";"Georgia";"Thunderbolt, Chatham County";"Water leisure activity";"M";"N"
826;"1938-03-08";"March";1938;"Unprovoked";"Australia";"Northern Territory";"Liverpool River";"Sinking or failure of vessel";"M";"N"
827;"1947-11-14";"November";1947;"Unprovoked";"Australia";"New South Wales";"Knobby's Beach, Newcastle";"Fishing, catching, or hunting";"M";"N"
828;"1934-08-21";"August";1934;"Unprovoked";"Croatia";"Adriatic Sea";"Susak (Rijeka, Istria)";"Water leisure activity";"F";"Y"
829;"1945-09-06";"September";1945;"Unprovoked";"Iran";"Shatt-al-Arab River";"Bashamir";"Water leisure activity";"M";"N"
830;"1947-11-23";"November";1947;"Boating";"Australia";"South Australia";"Unknown";"Fishing, catching, or hunting";"Not specified";"N"
